1 0 4996
2 4996 6541
3 11537 4718
4 16255 4236
5 20491 3604
6 24095 3051
7 27146 4102
8 31248 8646
9 39894 4037
10 43931 7534
11 51465 38570
12 90035 5442
13 95477 17874
14 113351 5293
15 118644 2771
16 121415 10543
17 131958 3785
18 135743 4730
19 140473 5410
20 145883 4828
21 150711 5248
22 155959 6728
23 162687 6487
24 169174 4681
25 173855 4152
26 178007 8955
27 186962 8407
28 195369 5485
29 200854 4274
30 205128 7446
31 212574 7907
32 220481 5650
33 226131 5360
34 231491 4467
35 235958 4962
36 240920 4320
37 245240 4372
38 249612 5348
39 254960 1259
40 256219 4011
41 260230 19874
42 280104 3711
43 283815 6335
44 290150 4680
45 294830 2816
46 297646 3483
47 301129 3916
48 305045 3470
49 308515 4279
50 312794 11918
51 324712 4246
52 328958 8221
53 337179 7865
54 345044 8005
55 353049 7312
56 360361 1631
57 361992 5254
58 367246 16451
59 383697 4610
60 388307 9451
61 397758 5311
62 403069 4199
63 407268 4788
64 412056 4033
65 416089 10511
66 426600 5557
67 432157 4115
68 436272 3165
69 439437 3748
70 443185 3923
71 447108 3315
72 450423 3420
73 453843 18433
74 472276 4810
75 477086 5366
76 482452 3401
77 485853 11477
78 497330 7879
79 505209 19541
80 524750 5457
81 530207 1232
82 531439 2129
83 533568 2873
84 536441 3668
85 540109 19356
86 559465 19779
87 579244 4354
88 583598 4300
89 587898 3524
90 591422 12567
91 603989 6787
92 610776 25789
93 636565 11230
94 647795 7097
95 654892 1553
96 656445 5950
97 662395 6354
98 668749 23593
99 692342 1569
100 693911 2813
101 696724 2813
